sim_hours,station,flag,commodity,hours_starving,hours_full,min_stock,max_stock,conv_running,conv_starved,conv_blocked
720,Coldreach,MERIDIAN_COMBINE,ORE,0,679,25.60,50.00,0,0,0
720,Coldreach,MERIDIAN_COMBINE,VOLATILES,0,709,33.80,62.40,0,0,0
720,Coldreach,MERIDIAN_COMBINE,REFINED,623,0,0.00,24.75,0,0,0
720,Coldreach,MERIDIAN_COMBINE,GOODS,598,0,0.00,24.80,0,0,0
720,Corvus Yards,MERIDIAN_COMBINE,ORE,0,707,26.80,50.00,0,0,0
720,Corvus Yards,MERIDIAN_COMBINE,VOLATILES,604,0,0.00,24.79,0,0,0
720,Corvus Yards,MERIDIAN_COMBINE,REFINED,598,0,0.00,24.80,0,0,0
720,Corvus Yards,MERIDIAN_COMBINE,GOODS,476,0,0.00,24.90,0,0,0
720,Deepcut,SOVEREIGN_DRIFT,ORE,0,704,26.50,50.00,0,0,0
720,Deepcut,SOVEREIGN_DRIFT,VOLATILES,609,0,0.00,24.78,0,0,0
720,Deepcut,SOVEREIGN_DRIFT,REFINED,623,0,0.00,24.75,0,0,0
720,Deepcut,SOVEREIGN_DRIFT,GOODS,557,0,0.00,24.85,0,0,0
720,Drift Market,SOVEREIGN_DRIFT,ORE,0,0,0.00,0.00,0,0,0
720,Drift Market,SOVEREIGN_DRIFT,VOLATILES,672,0,0.00,24.50,0,0,0
720,Drift Market,SOVEREIGN_DRIFT,REFINED,672,0,0.00,24.50,0,0,0
720,Drift Market,SOVEREIGN_DRIFT,GOODS,639,0,0.00,24.70,0,0,0
720,Halvorsen Claim,MERIDIAN_COMBINE,ORE,0,707,26.80,50.00,0,0,0
720,Halvorsen Claim,MERIDIAN_COMBINE,VOLATILES,609,0,0.00,24.78,0,0,0
720,Halvorsen Claim,MERIDIAN_COMBINE,REFINED,623,0,0.00,24.75,0,0,0
720,Halvorsen Claim,MERIDIAN_COMBINE,GOODS,557,0,0.00,24.85,0,0,0
720,Ironhold,SOVEREIGN_DRIFT,ORE,709,0,0.00,61.60,0,0,0
720,Ironhold,SOVEREIGN_DRIFT,VOLATILES,680,0,0.00,24.40,0,0,0
720,Ironhold,SOVEREIGN_DRIFT,REFINED,672,0,0.00,24.50,0,0,0
720,Ironhold,SOVEREIGN_DRIFT,GOODS,0,704,26.50,50.00,0,0,0
720,Refinery Prime,SOVEREIGN_DRIFT,ORE,709,0,0.00,36.30,12,708,0
720,Refinery Prime,SOVEREIGN_DRIFT,VOLATILES,666,0,0.00,24.55,12,708,0
720,Refinery Prime,SOVEREIGN_DRIFT,REFINED,0,709,28.60,52.80,12,708,0
720,Refinery Prime,SOVEREIGN_DRIFT,GOODS,659,0,0.00,24.60,12,708,0
720,Slag Bay,SOVEREIGN_DRIFT,ORE,0,709,41.60,76.80,0,0,0
720,Slag Bay,SOVEREIGN_DRIFT,VOLATILES,659,0,0.00,24.60,0,0,0
720,Slag Bay,SOVEREIGN_DRIFT,REFINED,623,0,0.00,24.75,0,0,0
720,Slag Bay,SOVEREIGN_DRIFT,GOODS,598,0,0.00,24.80,0,0,0
