sim_minutes,settle_minutes,num_haulers,station,flag,commodity,net_flow_lots_per_hour,economy_lots_per_hour,repair_lots_per_hour,self_repair_lots_per_hour,trade_lots_per_hour,delivery_count,min_stock,can_produce_locally,verdict
180,3,8,Coldreach,MERIDIAN_COMBINE,ORE,-0.1500,0.4467,-0.0000,-0.0000,-0.5967,4,6.830,yes,ok
180,3,8,Coldreach,MERIDIAN_COMBINE,VOLATILES,-0.0111,1.0817,-0.0000,-0.0000,-1.0929,12,8.255,yes,ok
180,3,8,Coldreach,MERIDIAN_COMBINE,REFINED,-0.2500,-0.2500,-0.0000,-0.0000,0.0000,0,3.242,no,ok
180,3,8,Coldreach,MERIDIAN_COMBINE,GOODS,0.0748,-0.1265,-0.0000,-0.0000,0.2013,15,3.911,no,ok
180,3,8,Coldreach,MERIDIAN_COMBINE,RARE,0.0000,0.0000,-0.0000,-0.0000,0.0000,0,0.000,no,ok
180,3,8,Corvus Yards,MERIDIAN_COMBINE,ORE,-0.0953,0.6417,-0.0000,-0.0000,-0.7370,3,9.230,yes,ok
180,3,8,Corvus Yards,MERIDIAN_COMBINE,VOLATILES,-0.0552,-0.1680,-0.0000,-0.0000,0.1128,4,3.827,no,ok
180,3,8,Corvus Yards,MERIDIAN_COMBINE,REFINED,-0.2000,-0.2000,-0.0000,-0.0000,0.0000,0,3.393,no,ok
180,3,8,Corvus Yards,MERIDIAN_COMBINE,GOODS,-0.0151,-0.1000,-0.0000,-0.0000,0.0849,1,3.727,no,ok
180,3,8,Corvus Yards,MERIDIAN_COMBINE,RARE,0.0660,0.3375,-0.0000,-0.0000,-0.2714,1,8.790,yes,ok
180,3,8,Deepcut,SOVEREIGN_DRIFT,ORE,-0.4303,1.1153,-0.0000,-0.0000,-1.5456,12,5.771,yes,ok
180,3,8,Deepcut,SOVEREIGN_DRIFT,VOLATILES,-0.2200,-0.2200,-0.0000,-0.0000,0.0000,0,3.333,no,ok
180,3,8,Deepcut,SOVEREIGN_DRIFT,REFINED,-0.0139,-0.1625,-0.0000,-0.0000,0.1486,13,3.865,no,ok
180,3,8,Deepcut,SOVEREIGN_DRIFT,GOODS,-0.0683,-0.1500,-0.0000,-0.0000,0.0817,1,3.730,no,ok
180,3,8,Deepcut,SOVEREIGN_DRIFT,RARE,0.0000,0.0000,-0.0000,-0.0000,0.0000,0,0.000,no,ok
180,3,8,Drift Market,SOVEREIGN_DRIFT,ORE,0.0000,0.0000,-0.0000,-0.0000,0.0000,0,0.000,no,ok
180,3,8,Drift Market,SOVEREIGN_DRIFT,VOLATILES,-0.5000,-0.5000,-0.0000,-0.0000,0.0000,0,2.483,no,UNSERVED
180,3,8,Drift Market,SOVEREIGN_DRIFT,REFINED,-0.0537,-0.0537,-0.0000,-0.0000,0.0000,0,2.567,no,ok
180,3,8,Drift Market,SOVEREIGN_DRIFT,GOODS,-0.0869,-0.0869,-0.0000,-0.0000,0.0000,0,3.640,no,ok
180,3,8,Drift Market,SOVEREIGN_DRIFT,RARE,0.0000,0.0000,-0.0000,-0.0000,0.0000,0,0.000,no,ok
180,3,8,Halvorsen Claim,MERIDIAN_COMBINE,ORE,-0.5070,0.4380,-0.0000,-0.0000,-0.9450,4,7.575,yes,ok
180,3,8,Halvorsen Claim,MERIDIAN_COMBINE,VOLATILES,-0.2200,-0.2200,-0.0000,-0.0000,0.0000,0,3.333,no,ok
180,3,8,Halvorsen Claim,MERIDIAN_COMBINE,REFINED,0.2546,-0.1111,-0.0000,-0.0000,0.3657,7,3.708,no,ok
180,3,8,Halvorsen Claim,MERIDIAN_COMBINE,GOODS,-0.0033,-0.0779,-0.0000,-0.0000,0.0746,1,3.760,no,ok
180,3,8,Halvorsen Claim,MERIDIAN_COMBINE,RARE,-0.1158,0.1755,-0.0000,-0.0000,-0.2913,1,8.245,yes,ok
180,3,8,Ironhold,SOVEREIGN_DRIFT,ORE,0.1044,-0.4985,-0.0000,-0.0000,0.6030,7,3.462,no,ok
180,3,8,Ironhold,SOVEREIGN_DRIFT,VOLATILES,-0.1083,-0.4383,-0.0000,-0.0000,0.3300,6,3.655,no,ok
180,3,8,Ironhold,SOVEREIGN_DRIFT,REFINED,-0.0603,-1.3378,-0.0000,-0.0000,1.2775,5,4.731,no,ok
180,3,8,Ironhold,SOVEREIGN_DRIFT,GOODS,0.1860,1.1748,-0.0000,-0.0000,-0.9888,27,10.273,yes,ok
180,3,8,Ironhold,SOVEREIGN_DRIFT,RARE,0.1372,-0.4255,-0.0000,-0.0000,0.5627,2,6.827,no,ok
180,3,8,Refinery Prime,SOVEREIGN_DRIFT,ORE,-2.3954,-4.8921,-0.0000,-0.0000,2.4967,17,10.974,no,UNDERSUPPLIED
180,3,8,Refinery Prime,SOVEREIGN_DRIFT,VOLATILES,-0.4500,-0.4500,-0.0000,-0.0000,0.0000,0,2.635,no,UNSERVED
180,3,8,Refinery Prime,SOVEREIGN_DRIFT,REFINED,-0.1665,2.0527,-0.0000,-0.0000,-2.2192,26,22.103,yes,ok
180,3,8,Refinery Prime,SOVEREIGN_DRIFT,GOODS,-0.0419,-0.2304,-0.0000,-0.0000,0.1885,4,3.774,no,ok
180,3,8,Refinery Prime,SOVEREIGN_DRIFT,RARE,0.0000,0.0000,-0.0000,-0.0000,0.0000,0,0.000,no,ok
180,3,8,Slag Bay,SOVEREIGN_DRIFT,ORE,0.1920,1.2505,-0.0000,-0.0000,-1.0585,3,16.364,yes,ok
180,3,8,Slag Bay,SOVEREIGN_DRIFT,VOLATILES,-0.3089,-0.4000,-0.0000,-0.0000,0.0911,1,3.060,no,UNDERSUPPLIED
180,3,8,Slag Bay,SOVEREIGN_DRIFT,REFINED,-0.2500,-0.2500,-0.0000,-0.0000,0.0000,0,3.242,no,ok
180,3,8,Slag Bay,SOVEREIGN_DRIFT,GOODS,0.0222,-0.1130,-0.0000,-0.0000,0.1352,2,3.668,no,ok
