sim_minutes,takes,incidents,stations_with_news,stations,notarized,patrols_with_news,patrols,sweeps_started,haulers_with_news
25,0,0,0,13,0,0,0,0,0
30,0,0,0,13,0,0,2,0,0
12,0,0,0,13,0,0,2,0,0
60,0,0,0,13,0,0,2,0,0
25,0,0,0,13,0,0,2,0,0
25,0,0,0,13,0,0,2,0,0
60,1,2,7,13,0,2,2,0,28
3,0,0,0,13,0,0,2,0,0
30,1,1,0,13,0,0,2,0,0
60,0,2,6,13,0,2,2,0,26
60,0,1,2,13,0,0,2,0,5
60,0,1,5,13,0,2,2,23,27
60,0,0,0,13,0,0,2,0,0
60,0,2,8,13,0,2,2,52,32
60,0,1,0,13,0,0,2,0,0
60,0,1,2,13,0,0,2,0,9
1,0,0,0,13,0,0,2,2,0
1,0,0,0,13,0,0,2,2,0
60,0,2,8,13,0,2,2,13,33
60,0,1,0,13,0,0,2,13,1
60,0,1,5,13,0,2,2,15,28
60,0,2,7,13,0,2,2,15,32
60,0,1,6,13,0,2,2,11,32
60,0,4,3,13,0,2,2,13,32
60,1,3,7,13,0,2,2,13,32
60,0,0,0,13,0,0,2,13,0
60,0,2,7,13,0,2,2,16,33
60,0,3,6,13,0,2,2,21,33
60,0,1,8,13,5,2,2,19,32
60,0,2,8,13,0,2,2,14,32
60,0,2,7,13,10,2,2,13,33
60,0,2,8,13,7,2,2,18,32
60,1,1,0,13,0,0,2,11,3
60,0,2,7,13,10,2,2,13,33
60,1,2,7,13,5,2,2,18,31
60,0,2,7,13,7,2,2,17,32
60,0,0,0,13,0,0,2,14,0
60,1,4,7,13,9,2,2,15,33
60,0,2,7,13,5,2,2,13,32
