run_id,jink,refresh,bins,volley,engagement_range,hits,destroyed,timeouts
1,0,0.0,3600,5,3500,0,5,0
2,0,0.0,3600,5,3500,0,5,0
3,0,0.0,3600,5,3500,0,5,0
4,0,0.0,3600,5,3500,0,5,0
5,0,0.0,3600,5,3500,0,5,0
6,0,0.0,3600,5,3500,0,5,0
7,0,0.0,3600,5,3500,1,4,0
8,0,0.0,3600,5,3500,0,5,0
9,0,0.0,3600,5,3500,0,5,0
10,0,0.0,3600,5,3500,0,5,0
1,0,0.0,3600,5,7000,0,5,0
2,0,0.0,3600,5,7000,1,4,0
3,0,0.0,3600,5,7000,3,2,0
4,0,0.0,3600,5,7000,2,3,0
5,0,0.0,3600,5,7000,0,5,0
6,0,0.0,3600,5,7000,2,3,0
7,0,0.0,3600,5,7000,2,3,0
8,0,0.0,3600,5,7000,2,3,0
9,0,0.0,3600,5,7000,0,5,0
10,0,0.0,3600,5,7000,1,4,0
1,0,0.0,3600,6,3500,1,5,0
2,0,0.0,3600,6,3500,1,5,0
3,0,0.0,3600,6,3500,1,5,0
4,0,0.0,3600,6,3500,0,6,0
5,0,0.0,3600,6,3500,0,6,0
6,0,0.0,3600,6,3500,1,5,0
7,0,0.0,3600,6,3500,3,3,0
8,0,0.0,3600,6,3500,1,5,0
9,0,0.0,3600,6,3500,0,6,0
10,0,0.0,3600,6,3500,1,5,0
1,0,0.0,3600,6,7000,3,3,0
2,0,0.0,3600,6,7000,4,2,0
3,0,0.0,3600,6,7000,3,3,0
4,0,0.0,3600,6,7000,3,3,0
5,0,0.0,3600,6,7000,3,3,0
6,0,0.0,3600,6,7000,4,2,0
7,0,0.0,3600,6,7000,3,3,0
8,0,0.0,3600,6,7000,2,4,0
9,0,0.0,3600,6,7000,3,3,0
10,0,0.0,3600,6,7000,2,4,0
1,0,0.0,3600,8,3500,3,5,0
2,0,0.0,3600,8,3500,3,5,0
3,0,0.0,3600,8,3500,3,5,0
4,0,0.0,3600,8,3500,4,4,0
5,0,0.0,3600,8,3500,6,2,0
6,0,0.0,3600,8,3500,2,6,0
7,0,0.0,3600,8,3500,3,5,0
8,0,0.0,3600,8,3500,3,5,0
9,0,0.0,3600,8,3500,0,8,0
10,0,0.0,3600,8,3500,5,3,0
1,0,0.0,3600,8,7000,4,4,0
2,0,0.0,3600,8,7000,5,3,0
3,0,0.0,3600,8,7000,5,3,0
4,0,0.0,3600,8,7000,5,3,0
5,0,0.0,3600,8,7000,4,4,0
6,0,0.0,3600,8,7000,5,3,0
7,0,0.0,3600,8,7000,5,3,0
8,0,0.0,3600,8,7000,2,6,0
9,0,0.0,3600,8,7000,4,4,0
10,0,0.0,3600,8,7000,1,7,0
1,0,0.1,3600,5,3500,1,4,0
2,0,0.1,3600,5,3500,0,5,0
3,0,0.1,3600,5,3500,0,5,0
4,0,0.1,3600,5,3500,0,5,0
5,0,0.1,3600,5,3500,1,4,0
6,0,0.1,3600,5,3500,0,5,0
7,0,0.1,3600,5,3500,0,5,0
8,0,0.1,3600,5,3500,0,5,0
9,0,0.1,3600,5,3500,0,5,0
10,0,0.1,3600,5,3500,2,3,0
1,0,0.1,3600,5,7000,0,5,0
2,0,0.1,3600,5,7000,2,3,0
3,0,0.1,3600,5,7000,3,2,0
4,0,0.1,3600,5,7000,0,5,0
5,0,0.1,3600,5,7000,3,2,0
6,0,0.1,3600,5,7000,2,3,0
7,0,0.1,3600,5,7000,1,4,0
8,0,0.1,3600,5,7000,4,1,0
9,0,0.1,3600,5,7000,3,2,0
10,0,0.1,3600,5,7000,2,3,0
1,0,0.1,3600,6,3500,3,3,0
2,0,0.1,3600,6,3500,3,3,0
3,0,0.1,3600,6,3500,0,6,0
4,0,0.1,3600,6,3500,2,4,0
5,0,0.1,3600,6,3500,2,4,0
6,0,0.1,3600,6,3500,2,4,0
7,0,0.1,3600,6,3500,0,6,0
8,0,0.1,3600,6,3500,3,3,0
9,0,0.1,3600,6,3500,1,5,0
10,0,0.1,3600,6,3500,2,4,0
1,0,0.1,3600,6,7000,3,3,0
2,0,0.1,3600,6,7000,3,3,0
3,0,0.1,3600,6,7000,4,2,0
4,0,0.1,3600,6,7000,3,3,0
5,0,0.1,3600,6,7000,0,6,0
6,0,0.1,3600,6,7000,2,4,0
7,0,0.1,3600,6,7000,4,2,0
8,0,0.1,3600,6,7000,3,3,0
9,0,0.1,3600,6,7000,3,3,0
10,0,0.1,3600,6,7000,3,3,0
1,0,0.1,3600,8,3500,0,8,0
2,0,0.1,3600,8,3500,3,5,0
3,0,0.1,3600,8,3500,0,8,0
4,0,0.1,3600,8,3500,3,5,0
5,0,0.1,3600,8,3500,4,4,0
6,0,0.1,3600,8,3500,3,5,0
7,0,0.1,3600,8,3500,0,8,0
8,0,0.1,3600,8,3500,3,5,0
9,0,0.1,3600,8,3500,3,5,0
10,0,0.1,3600,8,3500,4,4,0
1,0,0.1,3600,8,7000,6,2,0
2,0,0.1,3600,8,7000,5,3,0
3,0,0.1,3600,8,7000,7,1,0
4,0,0.1,3600,8,7000,5,3,0
5,0,0.1,3600,8,7000,5,3,0
6,0,0.1,3600,8,7000,5,3,0
7,0,0.1,3600,8,7000,5,3,0
8,0,0.1,3600,8,7000,4,4,0
9,0,0.1,3600,8,7000,6,2,0
10,0,0.1,3600,8,7000,3,5,0
1,0,0.25,3600,5,3500,2,3,0
2,0,0.25,3600,5,3500,2,3,0
3,0,0.25,3600,5,3500,2,3,0
4,0,0.25,3600,5,3500,1,4,0
5,0,0.25,3600,5,3500,0,5,0
6,0,0.25,3600,5,3500,4,1,0
7,0,0.25,3600,5,3500,3,2,0
8,0,0.25,3600,5,3500,2,3,0
9,0,0.25,3600,5,3500,2,3,0
10,0,0.25,3600,5,3500,0,5,0
1,0,0.25,3600,5,7000,5,0,0
2,0,0.25,3600,5,7000,4,1,0
3,0,0.25,3600,5,7000,4,1,0
4,0,0.25,3600,5,7000,4,1,0
5,0,0.25,3600,5,7000,5,0,0
6,0,0.25,3600,5,7000,4,1,0
7,0,0.25,3600,5,7000,4,1,0
8,0,0.25,3600,5,7000,4,1,0
9,0,0.25,3600,5,7000,2,3,0
10,0,0.25,3600,5,7000,5,0,0
1,0,0.25,3600,6,3500,4,2,0
2,0,0.25,3600,6,3500,4,2,0
3,0,0.25,3600,6,3500,5,1,0
4,0,0.25,3600,6,3500,2,4,0
5,0,0.25,3600,6,3500,0,6,0
6,0,0.25,3600,6,3500,0,6,0
7,0,0.25,3600,6,3500,2,4,0
8,0,0.25,3600,6,3500,4,2,0
9,0,0.25,3600,6,3500,4,2,0
10,0,0.25,3600,6,3500,1,5,0
1,0,0.25,3600,6,7000,6,0,0
2,0,0.25,3600,6,7000,3,3,0
3,0,0.25,3600,6,7000,5,1
