run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
1,1,2000.0,frontal,0,1,0,0,0
2,1,2000.0,frontal,0,1,0,0,0
3,1,2000.0,frontal,0,1,0,0,0
4,1,2000.0,frontal,0,1,0,0,0
5,1,2000.0,frontal,0,1,0,0,0
6,1,2000.0,frontal,0,1,0,0,0
7,1,2000.0,frontal,0,1,0,0,0
8,1,2000.0,frontal,0,1,0,0,0
9,1,2000.0,frontal,0,1,0,0,0
10,1,2000.0,frontal,0,1,0,0,0
1,2,2000.0,frontal,0,2,0,0,0
2,2,2000.0,frontal,0,2,0,0,0
3,2,2000.0,frontal,0,2,0,0,0
4,2,2000.0,frontal,0,2,0,0,0
5,2,2000.0,frontal,0,2,0,0,0
6,2,2000.0,frontal,0,2,0,0,0
7,2,2000.0,frontal,0,2,0,0,0
8,2,2000.0,frontal,0,2,0,0,0
9,2,2000.0,frontal,0,2,0,0,0
10,2,2000.0,frontal,0,2,0,0,0
1,3,2000.0,frontal,0,3,0,0,0
2,3,2000.0,frontal,0,3,0,0,0
3,3,2000.0,frontal,0,3,0,0,0
4,3,2000.0,frontal,1,2,0,0,1
5,3,2000.0,frontal,0,3,0,0,0
6,3,2000.0,frontal,0,3,0,0,0
7,3,2000.0,frontal,0,3,0,0,0
8,3,2000.0,frontal,1,2,0,0,1
9,3,2000.0,frontal,0,3,0,0,0
10,3,2000.0,frontal,0,3,0,0,0
1,4,2000.0,frontal,1,3,0,0,1
2,4,2000.0,frontal,1,3,0,0,1
3,4,2000.0,frontal,1,3,0,0,1
4,4,2000.0,frontal,1,3,0,0,1
5,4,2000.0,frontal,1,3,0,0,1
6,4,2000.0,frontal,1,3,0,0,1
7,4,2000.0,frontal,1,3,0,0,1
8,4,2000.0,frontal,1,3,0,0,1
9,4,2000.0,frontal,1,3,0,0,1
10,4,2000.0,frontal,2,2,0,0,2
1,5,2000.0,frontal,2,3,0,0,2
2,5,2000.0,frontal,2,3,0,0,2
3,5,2000.0,frontal,2,3,0,0,2
4,5,2000.0,frontal,2,3,0,0,2
5,5,2000.0,frontal,2,3,0,0,2
6,5,2000.0,frontal,2,3,0,0,2
7,5,2000.0,frontal,2,3,0,0,2
8,5,2000.0,frontal,2,3,0,0,2
9,5,2000.0,frontal,2,3,0,0,2
10,5,2000.0,frontal,2,3,0,0,2
1,6,2000.0,frontal,3,3,0,0,3
2,6,2000.0,frontal,2,4,0,0,2
3,6,2000.0,frontal,3,3,0,0,3
4,6,2000.0,frontal,3,3,0,0,3
5,6,2000.0,frontal,3,3,0,0,3
6,6,2000.0,frontal,0,6,0,0,0
7,6,2000.0,frontal,3,3,0,0,3
8,6,2000.0,frontal,3,3,0,0,3
9,6,2000.0,frontal,3,3,0,0,3
10,6,2000.0,frontal,3,3,0,0,3
1,8,2000.0,frontal,4,4,0,0,4
2,8,2000.0,frontal,5,3,0,0,5
3,8,2000.0,frontal,5,3,0,0,5
4,8,2000.0,frontal,5,3,0,0,5
5,8,2000.0,frontal,5,3,0,0,5
6,8,2000.0,frontal,5,3,0,0,5
