tag,calls,total_us,avg_us_per_call,avg_us_per_frame,max_frame_us
ship_tick_total,12480,2957954,237.016,4929.923,14025
sensor_sweep,12480,728486,58.372,1214.143,4529
heat_em_component_loop,12480,609272,48.820,1015.453,2025
ai_tree_tick,3594,568932,158.301,948.220,11547
sweep_hitloop,2258,458887,203.227,764.812,3285
he_comp_loop,11611,260767,22.459,434.612,856
eng_log_crossings,12480,238082,19.077,396.803,830
he_totals,11611,223391,19.240,372.318,766
weapons_pd,12480,185582,14.870,309.303,1337
contact_decay,12480,180075,14.429,300.125,1000
datalink_relay,12480,172550,13.826,287.583,1939
contact_correlate,12480,147573,11.825,245.955,1180
sweep_binning,2258,83464,36.964,139.107,650
aggression_witness,12480,62481,5.006,104.135,2274
he_em_prep,11611,59826,5.153,99.710,209
missile_controller,8886,57560,6.478,95.933,1326
sweep_broadphase,2258,57133,25.302,95.222,403
comms_inbox,12480,47995,3.846,79.992,270
pd_gather,3331,41208,12.371,68.680,254
pd_assign,3331,32823,9.854,54.705,798
port_zone_membership,11611,20124,1.733,33.540,97
repairs,12480,14199,1.138,23.665,69
pd_sort,3331,4749,1.426,7.915,63
distribute_state,600,1284,2.140,2.140,52
