run_id,refresh,bins,engagement_range,volley,hits,destroyed,timeouts
1,0.0,36000,3500,6,1,5,0
2,0.0,36000,3500,6,1,5,0
3,0.0,36000,3500,6,1,5,0
4,0.0,36000,3500,6,0,6,0
5,0.0,36000,3500,6,1,5,0
6,0.0,36000,3500,6,0,6,0
7,0.0,36000,3500,6,1,5,0
8,0.0,36000,3500,6,1,5,0
9,0.0,36000,3500,6,1,5,0
10,0.0,36000,3500,6,1,5,0
1,0.0,36000,7000,6,3,3,0
2,0.0,36000,7000,6,3,3,0
3,0.0,36000,7000,6,3,3,0
4,0.0,36000,7000,6,3,3,0
5,0.0,36000,7000,6,3,3,0
6,0.0,36000,7000,6,3,3,0
7,0.0,36000,7000,6,3,3,0
8,0.0,36000,7000,6,3,3,0
9,0.0,36000,7000,6,3,3,0
10,0.0,36000,7000,6,2,4,0
1,0.0,3600,3500,6,1,5,0
2,0.0,3600,3500,6,2,4,0
3,0.0,3600,3500,6,1,5,0
4,0.0,3600,3500,6,1,5,0
5,0.0,3600,3500,6,0,6,0
6,0.0,3600,3500,6,1,5,0
7,0.0,3600,3500,6,1,5,0
8,0.0,3600,3500,6,1,5,0
9,0.0,3600,3500,6,1,5,0
10,0.0,3600,3500,6,0,6,0
1,0.0,3600,7000,6,3,3,0
2,0.0,3600,7000,6,3,3,0
3,0.0,3600,7000,6,2,4,0
4,0.0,3600,7000,6,1,5,0
5,0.0,3600,7000,6,2,4,0
6,0.0,3600,7000,6,3,3,0
7,0.0,3600,7000,6,3,3,0
8,0.0,3600,7000,6,2,4,0
9,0.0,3600,7000,6,2,4,0
10,0.0,3600,7000,6,3,3,0
1,0.0,720,3500,6,4,2,0
2,0.0,720,3500,6,3,3,0
3,0.0,720,3500,6,4,2,0
4,0.0,720,3500,6,0,6,0
5,0.0,720,3500,6,1,5,0
6,0.0,720,3500,6,3,3,0
7,0.0,720,3500,6,3,3,0
8,0.0,720,3500,6,5,1,0
9,0.0,720,3500,6,4,2,0
10,0.0,720,3500,6,3,3,0
1,0.0,720,7000,6,4,2,0
2,0.0,720,7000,6,4,2,0
3,0.0,720,7000,6,4,2,0
4,0.0,720,7000,6,6,0,0
5,0.0,720,7000,6,4,2,0
6,0.0,720,7000,6,5,1,0
7,0.0,720,7000,6,5,1,0
8,0.0,720,7000,6,5,1,0
9,0.0,720,7000,6,2,4,0
10,0.0,720,7000,6,5,1,0
1,0.0,180,3500,6,5,1,0
2,0.0,180,3500,6,5,1,0
3,0.0,180,3500,6,6,0,0
4,0.0,180,3500,6,6,0,0
5,0.0,180,3500,6,6,0,0
6,0.0,180,3500,6,6,0,0
7,0.0,180,3500,6,6,0,0
8,0.0,180,3500,6,5,1,0
9,0.0,180,3500,6,6,0,0
10,0.0,180,3500,6,6,0,0
1,0.0,180,7000,6,6,0,0
2,0.0,180,7000,6,6,0,0
3,0.0,180,7000,6,6,0,0
4,0.0,180,7000,6,5,1,0
5,0.0,180,7000,6,6,0,0
6,0.0,180,7000,6,6,0,0
7,0.0,180,7000,6,6,0,0
8,0.0,180,7000,6,6,0,0
9,0.0,180,7000,6,6,0,0
10,0.0,180,7000,6,6,0,0
1,0.1,36000,3500,6,1,5,0
2,0.1,36000,3500,6,1,5,0
3,0.1,36000,3500,6,0,6,0
4,0.1,36000,3500,6,1,5,0
5,0.1,36000,3500,6,1,5,0
6,0.1,36000,3500,6,3,3,0
7,0.1,36000,3500,6,1,5,0
8,0.1,36000,3500,6,0,6,0
9,0.1,36000,3500,6,2,4,0
10,0.1,36000,3500,6,1,5,0
1,0.1,36000,7000,6,3,3,0
2,0.1,36000,7000,6,2,4,0
3,0.1,36000,7000,6,3,3,0
4,0.1,36000,7000,6,5,1,0
5,0.1,36000,7000,6,3,3,0
6,0.1,36000,7000,6,3,3,0
7,0.1,36000,7000,6,3,3,0
8,0.1,36000,7000,6,5,1,0
9,0.1,36000,7000,6,4,2,0
10,0.1,36000,7000,6,3,3,0
1,0.1,3600,3500,6,2,4,0
2,0.1,3600,3500,6,0,6,0
3,0.1,3600,3500,6,2,4,0
4,0.1,3600,3500,6,1,5,0
5,0.1,3600,3500,6,0,6,0
6,0.1,3600,3500,6,1,5,0
7,0.1,3600,3500,6,1,5,0
