tag,calls,total_us,avg_us_per_call,avg_us_per_frame,max_frame_us
ship_tick_total,62965,8694867,138.090,4830.482,8631
heat_em_component_loop,62965,2298706,36.508,1277.059,1873
datalink_relay,62965,2106335,33.452,1170.186,3306
ai_tree_tick,34181,1972189,57.698,1095.661,6682
he_totals,62965,963942,15.309,535.523,790
he_comp_loop,62965,936452,14.873,520.251,771
eng_log_crossings,62965,869386,13.807,482.992,840
contact_decay,62965,831107,13.200,461.726,820
weapons_pd,62965,435052,6.909,241.696,387
sensor_sweep,62965,311305,4.944,172.947,886
comms_inbox,62965,246464,3.914,136.924,215
port_zone_membership,62965,236520,3.756,131.400,195
he_em_prep,62965,201813,3.205,112.118,166
repairs,62965,153152,2.432,85.084,178
pd_gather,17990,75911,4.220,42.173,85
contact_correlate,62965,71087,1.129,39.493,327
sweep_hitloop,1994,66211,33.205,36.784,450
aggression_witness,62965,54087,0.859,30.048,58
sweep_binning,1994,26441,13.260,14.689,168
pd_assign,17990,18251,1.015,10.139,59
sweep_broadphase,1994,15124,7.585,8.402,72
pd_sort,17990,9383,0.522,5.213,11
distribute_state,1799,1974,1.097,1.097,5
