tag,calls,total_us,avg_us_per_call,avg_us_per_frame,max_frame_us
ship_tick_total,69488,9921380,142.778,6614.253,17801
sensor_sweep,69488,2603308,37.464,1735.539,4645
heat_em_component_loop,69488,2307899,33.213,1538.599,2265
ai_tree_tick,8994,1783434,198.292,1188.956,12487
datalink_relay,69488,1030090,14.824,686.727,1261
he_comp_loop,69488,999204,14.380,666.136,957
contact_decay,69488,938164,13.501,625.443,1387
he_totals,69488,713898,10.274,475.932,711
eng_log_crossings,69488,667403,9.605,444.935,800
weapons_pd,69488,632710,9.105,421.807,12709
contact_correlate,69488,406148,5.845,270.765,777
he_em_prep,69488,388642,5.593,259.095,433
missile_controller,60494,275358,4.552,183.572,4293
pd_assign,8604,191281,22.232,127.521,12423
pd_gather,8604,156628,18.204,104.419,236
port_zone_membership,57153,81759,1.431,54.506,124
repairs,69488,30101,0.433,20.067,55
pd_sort,8604,8691,1.010,5.794,33
distribute_state,1500,3496,2.331,2.331,9
