t_s,avg_phys_ms,max_phys_ms,max_ships,max_missiles
0,3.4965,6.5560,12,6
1,6.5560,6.5560,30,24
2,6.5560,6.5560,30,24
3,10.7367,12.8270,30,24
4,12.8270,12.8270,30,24
5,12.3224,12.8270,33,27
6,11.6160,11.6160,30,24
7,11.6160,11.6160,17,11
8,11.6160,11.6160,13,7
9,12.8034,13.0700,13,7
10,13.0700,13.0700,16,10
11,13.0700,13.0700,16,10
12,13.0700,13.0700,13,7
13,12.1092,13.0700,13,7
14,4.8350,4.8350,13,7
15,4.8350,4.8350,15,9
16,4.8350,4.8350,21,15
17,4.8350,4.8350,21,15
18,4.9108,5.4850,21,15
19,5.4850,5.4850,22,16
20,5.4850,5.4850,21,15
21,5.4850,5.4850,21,15
22,5.5972,6.0460,21,15
23,6.0460,6.0460,21,15
24,6.0460,6.0460,21,15
