scenario,speed_ratio,trial,took,seconds,pirate_dead,victim_looted,reached_demand
UNOPPOSED_SNEAK,0.30,0,true,82.38,false,true,true
UNOPPOSED_SNEAK,0.30,1,true,81.47,false,true,true
UNOPPOSED_SNEAK,0.30,2,true,77.43,false,true,true
UNOPPOSED_SNEAK,0.50,0,true,86.58,false,true,true
UNOPPOSED_SNEAK,0.50,1,true,81.00,false,true,true
UNOPPOSED_SNEAK,0.50,2,true,77.47,false,true,true
UNOPPOSED_SNEAK,0.80,0,true,72.68,false,true,true
UNOPPOSED_SNEAK,0.80,1,true,71.52,false,true,true
UNOPPOSED_SNEAK,0.80,2,true,78.93,false,true,true
UNOPPOSED_SNEAK,1.10,0,false,90.00,false,false,false
UNOPPOSED_SNEAK,1.10,1,false,90.00,false,false,false
UNOPPOSED_SNEAK,1.10,2,false,90.00,false,false,false
UNOPPOSED_FALSE_FLAG,0.30,0,true,71.92,false,true,true
UNOPPOSED_FALSE_FLAG,0.30,1,true,84.08,false,true,true
UNOPPOSED_FALSE_FLAG,0.30,2,true,73.43,false,true,true
UNOPPOSED_FALSE_FLAG,0.50,0,true,73.43,false,true,true
UNOPPOSED_FALSE_FLAG,0.50,1,true,76.43,false,true,true
UNOPPOSED_FALSE_FLAG,0.50,2,true,73.28,false,true,true
UNOPPOSED_FALSE_FLAG,0.80,0,true,74.23,false,true,true
UNOPPOSED_FALSE_FLAG,0.80,1,true,80.67,false,true,true
UNOPPOSED_FALSE_FLAG,0.80,2,true,74.75,false,true,true
UNOPPOSED_FALSE_FLAG,1.10,0,false,90.00,false,false,false
UNOPPOSED_FALSE_FLAG,1.10,1,false,90.00,false,false,false
UNOPPOSED_FALSE_FLAG,1.10,2,false,90.00,false,false,false
PATROL,0.30,0,false,90.00,false,false,true
PATROL,0.30,1,true,86.52,false,true,true
PATROL,0.30,2,false,90.00,false,false,true
PATROL,0.50,0,true,81.73,false,true,true
PATROL,0.50,1,true,80.77,false,true,true
PATROL,0.50,2,true,85.07,false,true,true
PATROL,0.80,0,true,71.40,false,true,true
PATROL,0.80,1,true,74.60,false,true,true
PATROL,0.80,2,true,67.00,false,true,true
PATROL,1.10,0,true,65.25,false,true,true
PATROL,1.10,1,false,90.00,false,false,false
PATROL,1.10,2,false,90.00,false,false,false
