run_id,engagement_range,axis,ttk_seconds,winner,loser_health
1,3000.0,head-on,4.03333333333333,ShipB,0.0
2,3000.0,head-on,4.03333333333333,ShipA,0.0
3,3000.0,head-on,4.03333333333333,ShipA,0.0
4,3000.0,head-on,4.03333333333333,ShipA,0.0
5,3000.0,head-on,4.03333333333333,ShipA,0.0
6,3000.0,head-on,4.03333333333333,ShipA,0.0
7,3000.0,head-on,4.03333333333333,ShipA,0.0
8,3000.0,head-on,4.03333333333333,ShipA,0.0
9,3000.0,head-on,4.03333333333333,ShipA,0.0
10,3000.0,head-on,4.03333333333333,ShipA,0.0
